Type of championship,Frist team,Secend team,Match time,Score,Date
كأس الاتحاد الإنجليزي,بلاكبيـرن  روفرز,نيوكاسل,21:45,1 - 1,2024-02-27
كأس الاتحاد الإنجليزي,لوتون تاون,مانشستر سيتي,22:00,2 - 6,2024-02-27
كأس ملك أسبانيا,ريال سوسيداد,مايوركا,22:30,1 - 1,2024-02-27
كأس فرنسا,ليون,ستراسبورج,21:45,0 - 0,2024-02-27
دوري القسم الثاني-أ,بترول أسيوط,أبو قير للاسمدة,15:00,1 - 1,2024-02-27
دوري القسم الثاني-أ,مكادي,جمهورية شبين,15:00,2 - 1,2024-02-27
دوري القسم الثاني-أ,النجوم,مصر المقاصة,15:00,3 - 2,2024-02-27
دوري القسم الثاني-أ,أسوان,دكرنس,15:00,1 - 0,2024-02-27
دوري القسم الثاني-أ,النصر للتعدين,المصرية للاتصالات,15:00,0 - 1,2024-02-27
كأس الاتحاد الإنجليزي,تشيلسي,ليدز يونايتد,21:30,3 - 2,2024-02-28
كأس الاتحاد الإنجليزي,نوتينجهام فورست,مانشستر يونايتد,21:45,0 - 1,2024-02-28
كأس الاتحاد الإنجليزي,وولفرهامبتون,برايتون,21:45,1 - 0,2024-02-28
كأس الاتحاد الإنجليزي,ليفربول,ساوثامبتون,22:00,3 - 0,2024-02-28
كأس فرنسا,روان,فالينسيان,20:00,1 - 1,2024-02-28
الدوري الإيطالي,ساسولو,نابولي,19:00,1 - 6,2024-02-28
الدوري الإيطالي,إنتر ميلان,أتالانتا,21:45,4 - 0,2024-02-28
الدوري المصري,الزمالك,الداخلية,19:00,1 - 0,2024-02-29
الدوري المصري,سموحة,مودرن فيوتشر,19:00,1 - 1,2024-02-29
كأس ملك أسبانيا,أتلتيك بلباو,اتلتيكو مدريد,22:30,3 - 0,2024-02-29
الدوري السعودي,الرائد,الفيحاء,16:00,1 - 2,2024-02-29
الدوري السعودي,الوحدة,التعاون,16:00,3 - 3,2024-02-29
الدوري السعودي,النصر,الحزم,19:00,4 - 4,2024-02-29
كأس فرنسا,لو بوي فوت 43,رين,21:45,1 - 3,2024-02-29
دوري نجوم قطر,الشمال,معيذر,17:00,0 - 0,2024-02-29
دوري نجوم قطر,الوكرة,المرخية الرياضي,19:00,1 - 2,2024-02-29
دوري نجوم قطر,الأهلي القطري,ام صلال,19:00,1 - 2,2024-02-29
الدوري الإماراتي,العين,حتا,15:35,5 - 3,2024-02-29
الدوري الإماراتي,اتحاد كلباء,البطائح,18:15,1 - 2,2024-02-29
الدوري المصري,فاركو,البنك الاهلي,16:00,2 - 1,2024-03-01
الدوري المصري,سيراميكا كليوباترا,المقاولون العرب,19:00,2 - 0,2024-03-01
دوري أبطال إفريقيا,الأهلي,يانج افريكانز,18:00,1 - 0,2024-03-01
دوري أبطال إفريقيا,شباب بلوزداد,ميدياما,18:00,3 - 0,2024-03-01
الدوري الإسباني,سيلتا فيجو,الميريا,22:00,1 - 0,2024-03-01
الدوري السعودي,أبها,الطــائي,16:00,2 - 0,2024-03-01
الدوري السعودي,الأخدود,الرياض,16:00,1 - 2,2024-03-01
الدوري السعودي,الهلال,الاتحاد,19:00,3 - 1,2024-03-01
الدوري الإيطالي,لاتسيو,ميلان,21:45,0 - 1,2024-03-01
الدوري الألماني,فرايبورج,بايرن ميونيخ,21:30,2 - 2,2024-03-01
الدوري الفرنسي,موناكو,باريس سان جيرمان,22:00,0 - 0,2024-03-01
الدوري المغربي,شباب المحمدية,الفتح الرباطي,19:00,0 - 1,2024-03-01
الدوري المغربي,الاتحاد التوركي,يوسفية برشيد,21:00,3 - 2,2024-03-01
دوري القسم الثاني-أ,لافيينا أف سي,بروكسي,15:30,2 - 0,2024-03-01
دوري القسم الثاني-أ,السكة الحديد,غزل المحلة,15:30,1 - 1,2024-03-01
دوري القسم الثاني-أ,طنطا‏,راية الرياضي,15:30,3 - 0,2024-03-01
دوري القسم الثاني-أ,القناة,بتروجيت,15:30,0 - 1,2024-03-01
دوري القسم الثاني-أ,حرس الحدود,وادي دجلة,19:00,1 - 1,2024-03-01
الدوري التركي,قاسم باشا,سيفاسبور,19:00,0 - 0,2024-03-01
الدوري البرتغالي,شافيش,أروكا,22:15,1 - 5,2024-03-01
دوري نجوم قطر,السد القطري,نادي قطر,17:00,3 - 0,2024-03-01
دوري نجوم قطر,الدحيل,الغرافة,17:00,1 - 4,2024-03-01
دوري نجوم قطر,العربي,الريان,19:00,2 - 3,2024-03-01
الدوري الإماراتي,خورفكان,شباب الأهلي,15:35,0 - 3,2024-03-01
الدوري الإماراتي,عجمان,نادي الامارات,15:35,2 - 0,2024-03-01
الدوري الإماراتي,الوصل,الشــارقة,18:15,2 - 0,2024-03-01
الدوري المصري,الإسماعيلي,بلدية المحلة,19:00,0 - 1,2024-03-02
الدوري الإنجليزي,ايفرتون,وست هام يونايتد,17:00,1 - 3,2024-03-02
الدوري الإنجليزي,نيوكاسل,وولفرهامبتون,17:00,3 - 0,2024-03-02
الدوري الإنجليزي,توتنهام هوتسبر,كريستال بالاس,17:00,3 - 1,2024-03-02
الدوري الإنجليزي,فولهام,برايتون,17:00,3 - 0,2024-03-02
الدوري الإنجليزي,نوتينجهام فورست,ليفربول,17:00,0 - 1,2024-03-02
الدوري الإنجليزي,برينتفورد,تشيلسي,17:00,2 - 2,2024-03-02
الدوري الإنجليزي,لوتون تاون,أستون فيلا,19:30,2 - 3,2024-03-02
دوري أبطال إفريقيا,ماميلودي صنداونز,مازيمبي,15:00,1 - 0,2024-03-02
دوري أبطال إفريقيا,بيراميدز,إف سي نواذيبو,15:00,2 - 2,2024-03-02
دوري أبطال إفريقيا,الوداد البيضاوي,أسيك أبيدجـــــان,18:00,1 - 0,2024-03-02
دوري أبطال إفريقيا,سيمبا,جوانينج جالاكسي,18:00,6 - 0,2024-03-02
دوري أبطال إفريقيا,الترجى الرياضي,الهلال السوداني,21:00,1 - 0,2024-03-02
دوري أبطال إفريقيا,بترو أتليتكو,النجم الساحلى,21:00,2 - 0,2024-03-02
الدوري الإسباني,اشبيلية,ريال سوسيداد,15:00,3 - 2,2024-03-02
الدوري الإسباني,رايو فاييكانو,قادش,17:15,1 - 1,2024-03-02
الدوري الإسباني,خيتافي,لاس بالماس,19:30,3 - 3,2024-03-02
الدوري الإسباني,فالنسيا,ريال مدريد,22:00,2 - 2,2024-03-02
الدوري السعودي,الخليج,الشباب,16:00,0 - 0,2024-03-02
الدوري السعودي,ضمك,الاتفـــــاق,16:00,0 - 2,2024-03-02
الدوري السعودي,أهلي جدة,الفتح,19:00,1 - 1,2024-03-02
الدوري الإيطالي,أودينيزي,ساليرنيتانا,16:00,1 - 1,2024-03-02
الدوري الإيطالي,مونزا,روما,19:00,1 - 4,2024-03-02
الدوري الإيطالي,تورينو,فيورنتينا,21:45,0 - 0,2024-03-02
الدوري الألماني,يونيون برلين,بروسيا دورتموند,16:30,0 - 2,2024-03-02
الدوري الألماني,ماينز,مونشنجلادباخ,16:30,1 - 1,2024-03-02
الدوري الألماني,بوخوم,لايبزيج,16:30,1 - 4,2024-03-02
الدوري الألماني,دارمشتات,أوجسبورج,16:30,0 - 6,2024-03-02
الدوري الألماني,هايدنهايم,آ. فرانكفورت,16:30,1 - 2,2024-03-02
الدوري الألماني,فولفسبورج,شتوتجارت,19:30,2 - 3,2024-03-02
الدوري الفرنسي,ريمس,ليل,18:00,0 - 1,2024-03-02
الدوري الفرنسي,كليرمونت,مارسيليا,22:00,1 - 5,2024-03-02
الدوري المغربي,اتحاد طنجة,الجيش الملكي,19:00,1 - 2,2024-03-02
الدوري المغربي,نهضة الزمامرة,حسنية اغادير,21:00,3 - 0,2024-03-02
الدوري التركي,أنقرة جوتشو,إسطنبول سبور,12:30,1 - 1,2024-03-02
الدوري التركي,ريزه سبور,قيصري سبور,15:00,3 - 0,2024-03-02
الدوري التركي,هاتاي سبور,فنربخشة,18:00,0 - 2,2024-03-02
الدوري التونسي,اتحاد تطاوين,قوافل قفصة,15:30,1 - 0,2024-03-02
الدوري التونسي,البنزرتي,سليمان الرياضي,15:30,2 - 0,2024-03-02
الدوري البرتغالي,موريرنسي,ريو آفي,17:30,0 - 0,2024-03-02
الدوري البرتغالي,إستوريل,فيتوريا جيماريش,20:00,1 - 3,2024-03-02
الدوري البرتغالي,سبورتينج براجا,إستريلا,22:30,3 - 0,2024-03-02
الدوري الإماراتي,النصر الإماراتي,بني ياس,15:35,1 - 0,2024-03-02
الدوري الإماراتي,الوحـــدة,الجــزيرة,18:15,3 - 2,2024-03-02
الدوري المصري,إنبي,الاتحاد السكندري,19:00,1 - 2,2024-03-03
الدوري الإنجليزي,بيرنلي,بورنموث,15:00,0 - 2,2024-03-03
الدوري الإنجليزي,مانشستر سيتي,مانشستر يونايتد,17:30,3 - 1,2024-03-03
الدوري الإسباني,فياريال,غرناطه,15:00,5 - 1,2024-03-03
الدوري الإسباني,اتلتيكو مدريد,ريال بيتيس,17:15,2 - 1,2024-03-03
الدوري الإسباني,مايوركا,جيرونا,19:30,1 - 0,2024-03-03
الدوري الإسباني,أتلتيك بلباو,برشلونة,22:00,0 - 0,2024-03-03
الكونفيدرالية الإفريقية,ديابل نوار,سيخوخون يونايتد,15:00,0 - 0,2024-03-03
الكونفيدرالية الإفريقية,اتحاد العاصمة,سوبر سبورت,18:00,2 - 1,2024-03-03
الكونفيدرالية الإفريقية,مودرن فيوتشر,الهلال الليبي,18:00,5 - 0,2024-03-03
الكونفيدرالية الإفريقية,ريفرز يونايتد,دريمز,18:00,2 - 1,2024-03-03
الكونفيدرالية الإفريقية,الافريقي التونسي,أكاديميكا لوبيتو,18:00,1 - 1,2024-03-03
الكونفيدرالية الإفريقية,الزمالك,سوار,21:00,3 - 0,2024-03-03
الكونفيدرالية الإفريقية,ساجرادا اسبيرانسا,أبو سليم,21:00,3 - 0,2024-03-03
الكونفيدرالية الإفريقية,نهضة بركان,ستاد مالي,21:00,3 - 0,2024-03-03
الدوري الإيطالي,هيلاس فيرونا,ساسولو,13:30,1 - 0,2024-03-03
الدوري الإيطالي,إمبولي,كالياري,16:00,0 - 1,2024-03-03
الدوري الإيطالي,فروزينوني,ليتشي,16:00,1 - 1,2024-03-03
الدوري الإيطالي,أتالانتا,بولونيا,19:00,1 - 2,2024-03-03
الدوري الإيطالي,نابولي,يوفنتوس,21:45,2 - 1,2024-03-03
الدوري الألماني,كولن,باير ليفركوزن,16:30,0 - 2,2024-03-03
الدوري الألماني,هوفنهايم,فيردر بريمن,18:30,2 - 1,2024-03-03
الدوري الفرنسي,تولوز,نيس,14:00,2 - 1,2024-03-03
الدوري الفرنسي,مونبيليه,ستراسبورج,16:00,2 - 2,2024-03-03
الدوري الفرنسي,بريست,لوهافر,16:00,1 - 0,2024-03-03
الدوري الفرنسي,نانت,ميتز,16:00,0 - 2,2024-03-03
الدوري الفرنسي,رين,لوريان,18:05,1 - 2,2024-03-03
الدوري الفرنسي,ليون,لانس,21:45,0 - 3,2024-03-03
الدوري المغربي,الشباب الرياضي السالمي,المغرب التطواني,17:00,1 - 2,2024-03-03
الدوري المغربي,الرجاء البيضاوي,أولمبيك آسفي,19:00,1 - 0,2024-03-03
الدوري التركي,إسطنبول باشاكشهير,سامسون سبور,12:30,1 - 0,2024-03-03
الدوري التركي,بينديكسبور,قونيا سبور,12:30,0 - 2,2024-03-03
الدوري التركي,بشكتاش,جالاتا سراي,18:00,0 - 1,2024-03-03
الدوري التونسي,النجم الرياضي بالمتلوي,إتحاد بن قردان,15:30,3 - 1,2024-03-03
الدوري التونسي,الأولمبي الباجي,مستقبل المرسى,15:30,3 - 0,2024-03-03
الدوري البرتغالي,بورتيمونينسي,فيزيلا,17:30,0 - 0,2024-03-03
الدوري البرتغالي,كازا بيا,جل فيسنتي,17:30,0 - 0,2024-03-03
الدوري البرتغالي,سبورتينج لشبونة,فيرنسي,20:00,3 - 2,2024-03-03
الدوري البرتغالي,بورتو,بنفيكا,22:30,5 - 0,2024-03-03
الدوري الإنجليزي,شيفيلد يونايتد,أرسنال,22:00,0 - 6,2024-03-04
الدوري الإسباني,أوساسونا,ألافيس,22:00,1 - 0,2024-03-04
دوري أبطال آسيا,العين,النصر,18:00,1 - 0,2024-03-04
الدوري الإيطالي,إنتر ميلان,جنوى,21:45,2 - 1,2024-03-04
الدوري التركي,أضنة دمير سبور,فاتح كاراجومروك,16:00,1 - 0,2024-03-04
الدوري التركي,ألانيا سبور,طرابزون سبور,19:00,3 - 1,2024-03-04
الدوري التركي,انطاليا سبور,غازي عنتاب بي.بي.كي,19:00,1 - 0,2024-03-04
الدوري البرتغالي,فاماليكاو,بوافيستا,22:15,1 - 1,2024-03-04
الدوري المصري,طلائع الجيش,الداخلية,16:00,0 - 0,2024-03-05
الدوري المصري,المصري,سموحة,19:00,2 - 0,2024-03-05
دوري أبطال أوروبا,بايرن ميونيخ,لاتسيو,22:00,3 - 0,2024-03-05
دوري أبطال أوروبا,ريال سوسيداد,باريس سان جيرمان,22:00,1 - 2,2024-03-05
دوري أبطال آسيا,تشونبك هيونداي,أولسان هيونداي,12:00,1 - 1,2024-03-05
دوري أبطال آسيا,الهلال,الاتحاد,20:00,2 - 0,2024-03-05
الدوري المغربي,نهضة الزمامرة,الوداد البيضاوي,19:00,0 - 0,2024-03-05
دوري القسم الثاني-أ,مصر المقاصة,بترول أسيوط,15:30,1 - 2,2024-03-05
دوري القسم الثاني-أ,أبو قير للاسمدة,مكادي,15:30,2 - 1,2024-03-05
دوري القسم الثاني-أ,جمهورية شبين,النصر للتعدين,15:30,2 - 1,2024-03-05
دوري القسم الثاني-أ,دكرنس,النجوم,15:30,4 - 0,2024-03-05
دوري القسم الثاني-أ,المصرية للاتصالات,أسوان,15:30,1 - 0,2024-03-05
الدوري التونسي,الترجى الرياضي,الملعب التونسي,18:00,2 - 0,2024-03-05
دوري نجوم قطر,الدحيل,المرخية الرياضي,17:00,0 - 0,2024-03-05
دوري نجوم قطر,معيذر,الأهلي القطري,19:00,1 - 1,2024-03-05
دوري نجوم قطر,ام صلال,الشمال,19:00,3 - 4,2024-03-05
الدوري المصري,بيراميدز,فاركو,19:00,1 - 1,2024-03-06
دوري أبطال أوروبا,ريال مدريد,لايبزيج,22:00,1 - 1,2024-03-06
دوري أبطال أوروبا,مانشستر سيتي,كوبنهاجن,22:00,3 - 1,2024-03-06
الدوري الأوروبي,سبورتينج لشبونة,أتالانتا,19:45,1 - 1,2024-03-06
دوري أبطال آسيا,شاندونج تايشان,يوكوهاما مارينوس,12:00,1 - 2,2024-03-06
الدوري المغربي,نهضة بركان,الجيش الملكي,19:00,1 - 2,2024-03-06
دوري القسم الثاني-أ,بروكسي,طنطا‏,15:30,1 - 0,2024-03-06
دوري القسم الثاني-أ,وادي دجلة,لافيينا أف سي,15:30,1 - 2,2024-03-06
دوري القسم الثاني-أ,السكة الحديد,حرس الحدود,15:30,0 - 0,2024-03-06
دوري القسم الثاني-أ,راية الرياضي,القناة,15:30,1 - 0,2024-03-06
دوري القسم الثاني-أ,غزل المحلة,بتروجيت,18:00,2 - 2,2024-03-06
الدوري التونسي,الصفاقســــي,الافريقي التونسي,18:00,0 - 0,2024-03-06
الدوري التونسي,الإتحاد المنستيري,النجم الساحلى,18:00,0 - 0,2024-03-06
دوري نجوم قطر,نادي قطر,العربي,17:00,3 - 4,2024-03-06
دوري نجوم قطر,الريان,الوكرة,19:00,3 - 0,2024-03-06
دوري نجوم قطر,الغرافة,السد القطري,19:00,2 - 2,2024-03-06
الدوري المصري,مودرن فيوتشر,زد,19:00,0 - 0,2024-03-07
الدوري الأوروبي,روما,برايتون,19:45,4 - 0,2024-03-07
الدوري الأوروبي,كاراباج اجدام,باير ليفركوزن,19:45,2 - 2,2024-03-07
الدوري الأوروبي,سبارتا براج,ليفربول,19:45,1 - 5,2024-03-07
الدوري الأوروبي,بنفيكا,جلاسكو رينجرز,22:00,2 - 2,2024-03-07
الدوري الأوروبي,فرايبورج,وست هام يونايتد,22:00,1 - 0,2024-03-07
الدوري الأوروبي,مارسيليا,فياريال,22:00,4 - 0,2024-03-07
الدوري الأوروبي,ميلان,سلافيا براج,22:00,4 - 2,2024-03-07
الدوري السعودي,الشباب,الفيحاء,16:00,2 - 3,2024-03-07
الدوري السعودي,ضمك,الوحدة,16:00,1 - 0,2024-03-07
الدوري السعودي,النصر,الرائد,19:00,1 - 3,2024-03-07
دوري المؤتمر الأوروبي,شتورم جراتس,ليل,19:45,0 - 3,2024-03-07
دوري المؤتمر الأوروبي,أوليمبياكوس,مكابى تل ابيب,19:45,1 - 4,2024-03-07
دوري المؤتمر الأوروبي,أياكس امستردام,أستون فيلا,19:45,0 - 0,2024-03-07
دوري المؤتمر الأوروبي,مولده,كلوب بروج,19:45,2 - 1,2024-03-07
دوري المؤتمر الأوروبي,سيرفيت جنيف,فيكتوريا بلزن,22:00,0 - 0,2024-03-07
دوري المؤتمر الأوروبي,سان جيلواز,فنربخشة,22:00,0 - 3,2024-03-07
دوري المؤتمر الأوروبي,دينامو زغرب,باوك سالونيكا,22:00,2 - 0,2024-03-07
دوري المؤتمر الأوروبي,مكابي حيفا,فيورنتينا,22:00,3 - 4,2024-03-07
الدوري المصري,بلدية المحلة,الجونة,16:00,1 - 2,2024-03-08
كأس مصر,الزمالك,الأهلي,19:30,0 - 2,2024-03-08
الدوري الإسباني,برشلونة,مايوركا,22:00,1 - 0,2024-03-08
الدوري السعودي,الرياض,الهلال,16:00,1 - 3,2024-03-08
الدوري السعودي,الطــائي,الحزم,16:00,1 - 0,2024-03-08
الدوري السعودي,الاتحاد,الأخدود,19:00,2 - 1,2024-03-08
الدوري الإيطالي,نابولي,تورينو,21:45,1 - 1,2024-03-08
الدوري الألماني,شتوتجارت,يونيون برلين,21:30,2 - 0,2024-03-08
الدوري الفرنسي,نيس,مونبيليه,22:00,1 - 2,2024-03-08
الدوري المغربي,شباب المحمدية,الشباب الرياضي السالمي,20:00,0 - 1,2024-03-08
الدوري التركي,جالاتا سراي,ريزه سبور,19:00,6 - 2,2024-03-08
الدوري البرتغالي,بورتيمونينسي,بورتو,20:45,0 - 3,2024-03-08
الدوري البرتغالي,إستريلا,كازا بيا,22:45,3 - 1,2024-03-08
الدوري المصري,المقاولون العرب,الإسماعيلي,16:00,1 - 1,2024-03-09
الدوري الإنجليزي,مانشستر يونايتد,ايفرتون,14:30,2 - 0,2024-03-09
الدوري الإنجليزي,بورنموث,شيفيلد يونايتد,17:00,2 - 2,2024-03-09
الدوري الإنجليزي,كريستال بالاس,لوتون تاون,17:00,1 - 1,2024-03-09
الدوري الإنجليزي,وولفرهامبتون,فولهام,17:00,2 - 1,2024-03-09
الدوري الإنجليزي,أرسنال,برينتفورد,19:30,2 - 1,2024-03-09
الدوري الإسباني,فالنسيا,خيتافي,15:00,1 - 0,2024-03-09
الدوري الإسباني,قادش,اتلتيكو مدريد,17:15,2 - 0,2024-03-09
الدوري الإسباني,غرناطه,ريال سوسيداد,19:30,2 - 3,2024-03-09
الدوري الإسباني,جيرونا,أوساسونا,22:00,2 - 0,2024-03-09
الدوري الأفريقي لكرة السلة,بترو دي لواندا,نادي الفتح الرياضي,16:00,73 - 82,2024-03-09
الدوري السعودي,الفتح,الخليج,16:00,1 - 2,2024-03-09
الدوري السعودي,الاتفـــــاق,أبها,16:00,3 - 0,2024-03-09
الدوري السعودي,التعاون,أهلي جدة,19:00,0 - 1,2024-03-09
الدوري الإيطالي,ساسولو,فروزينوني,16:00,1 - 0,2024-03-09
الدوري الإيطالي,كالياري,ساليرنيتانا,16:00,4 - 2,2024-03-09
الدوري الإيطالي,بولونيا,إنتر ميلان,19:00,0 - 1,2024-03-09
الدوري الإيطالي,جنوى,مونزا,21:45,2 - 3,2024-03-09
الدوري الألماني,لايبزيج,دارمشتات,16:30,2 - 0,2024-03-09
الدوري الألماني,بايرن ميونيخ,ماينز,16:30,8 - 1,2024-03-09
الدوري الألماني,أوجسبورج,هايدنهايم,16:30,1 - 0,2024-03-09
الدوري الألماني,مونشنجلادباخ,كولن,16:30,3 - 3,2024-03-09
الدوري الألماني,فيردر بريمن,بروسيا دورتموند,19:30,1 - 2,2024-03-09
الدوري الفرنسي,لوريان,ليون,18:00,0 - 2,2024-03-09
الدوري الفرنسي,لانس,بريست,22:00,1 - 0,2024-03-09
الدوري المغربي,الوداد البيضاوي,الاتحاد التوركي,17:00,0 - 0,2024-03-09
الدوري المغربي,أولمبيك آسفي,مولودية وجدة,19:00,3 - 1,2024-03-09
الدوري المغربي,المغرب الفاسي,اتحاد طنجة,21:00,2 - 1,2024-03-09
الدوري التركي,سيفاسبور,ألانيا سبور,12:30,1 - 2,2024-03-09
الدوري التركي,قونيا سبور,أضنة دمير سبور,15:00,2 - 2,2024-03-09
الدوري التركي,إسطنبول باشاكشهير,انطاليا سبور,18:00,1 - 0,2024-03-09
الدوري التركي,طرابزون سبور,فاتح كاراجومروك,18:00,5 - 1,2024-03-09
الدوري التونسي,قوافل قفصة,النجم الرياضي بالمتلوي,15:30,1 - 0,2024-03-09
الدوري التونسي,البنزرتي,مستقبل المرسى,15:30,1 - 0,2024-03-09
الدوري التونسي,الافريقي التونسي,الإتحاد المنستيري,18:00,1 - 0,2024-03-09
الدوري البرتغالي,فيزيلا,فيرنسي,17:30,2 - 1,2024-03-09
الدوري البرتغالي,ريو آفي,سبورتينج براجا,20:00,0 - 0,2024-03-09
الدوري البرتغالي,بوافيستا,موريرنسي,20:00,1 - 0,2024-03-09
الدوري البرتغالي,فيتوريا جيماريش,فاماليكاو,22:30,1 - 0,2024-03-09
الدوري المصري,سموحة,سيراميكا كليوباترا,16:00,1 - 0,2024-03-10
الدوري المصري,الداخلية,بيراميدز,16:00,0 - 2,2024-03-10
الدوري الإنجليزي,أستون فيلا,توتنهام هوتسبر,15:00,0 - 4,2024-03-10
الدوري الإنجليزي,وست هام يونايتد,بيرنلي,16:00,2 - 2,2024-03-10
الدوري الإنجليزي,برايتون,نوتينجهام فورست,16:00,1 - 0,2024-03-10
الدوري الإنجليزي,ليفربول,مانشستر سيتي,17:45,1 - 1,2024-03-10
الدوري الإسباني,ألافيس,رايو فاييكانو,15:00,1 - 0,2024-03-10
الدوري الإسباني,لاس بالماس,أتلتيك بلباو,17:15,0 - 2,2024-03-10
الدوري الإسباني,ريال مدريد,سيلتا فيجو,19:30,4 - 0,2024-03-10
الدوري الإسباني,ريال بيتيس,فياريال,22:00,2 - 3,2024-03-10
الدوري الأفريقي لكرة السلة,بترو دي لواندا,كيب تاون تايجرز,19:00,100 - 88,2024-03-10
الدوري الإيطالي,ليتشي,هيلاس فيرونا,13:30,0 - 1,2024-03-10
الدوري الإيطالي,ميلان,إمبولي,16:00,1 - 0,2024-03-10
الدوري الإيطالي,يوفنتوس,أتالانتا,19:00,2 - 2,2024-03-10
الدوري الإيطالي,فيورنتينا,روما,21:45,2 - 2,2024-03-10
الدوري الألماني,بوخوم,فرايبورج,16:30,1 - 2,2024-03-10
الدوري الألماني,آ. فرانكفورت,هوفنهايم,18:30,3 - 1,2024-03-10
الدوري الألماني,باير ليفركوزن,فولفسبورج,20:30,2 - 0,2024-03-10
الدوري الفرنسي,باريس سان جيرمان,ريمس,14:00,2 - 2,2024-03-10
الدوري الفرنسي,ستراسبورج,موناكو,16:00,0 - 1,2024-03-10
الدوري الفرنسي,ميتز,كليرمونت,16:00,1 - 0,2024-03-10
الدوري الفرنسي,لوهافر,تولوز,16:00,1 - 0,2024-03-10
الدوري الفرنسي,ليل,رين,18:05,2 - 2,2024-03-10
الدوري الفرنسي,مارسيليا,نانت,21:45,2 - 0,2024-03-10
الدوري المغربي,المغرب التطواني,نهضة الزمامرة,17:00,0 - 1,2024-03-10
الدوري المغربي,حسنية اغادير,نهضة بركان,17:00,0 - 2,2024-03-10
الدوري المغربي,الفتح الرباطي,الرجاء البيضاوي,19:00,0 - 1,2024-03-10
الدوري المغربي,يوسفية برشيد,الجيش الملكي,21:00,0 - 2,2024-03-10
دوري القسم الثاني-أ,بترول أسيوط,دكرنس,15:30,1 - 1,2024-03-10
دوري القسم الثاني-أ,مكادي,مصر المقاصة,15:30,4 - 1,2024-03-10
دوري القسم الثاني-أ,جمهورية شبين,أبو قير للاسمدة,15:30,0 - 1,2024-03-10
دوري القسم الثاني-أ,النجوم,المصرية للاتصالات,15:30,1 - 1,2024-03-10
دوري القسم الثاني-أ,النصر للتعدين,أسوان,15:30,1 - 2,2024-03-10
الدوري التركي,قيصري سبور,هاتاي سبور,12:30,1 - 1,2024-03-10
الدوري التركي,إسطنبول سبور,قاسم باشا,15:00,1 - 2,2024-03-10
الدوري التركي,سامسون سبور,أنقرة جوتشو,15:00,2 - 1,2024-03-10
الدوري التركي,فنربخشة,بينديكسبور,18:00,4 - 1,2024-03-10
الدوري التونسي,الملعب التونسي,الصفاقســــي,15:30,0 - 0,2024-03-10
الدوري التونسي,النجم الساحلى,الترجى الرياضي,15:30,0 - 1,2024-03-10
الدوري التونسي,إتحاد بن قردان,الأولمبي الباجي,15:30,0 - 1,2024-03-10
الدوري التونسي,سليمان الرياضي,اتحاد تطاوين,15:30,1 - 3,2024-03-10
الدوري البرتغالي,أروكا,سبورتينج لشبونة,20:00,0 - 3,2024-03-10
الدوري البرتغالي,بنفيكا,إستوريل,22:30,3 - 1,2024-03-10
دوري نجوم قطر,العربي,السد القطري,19:30,2 - 2,2024-03-10
دوري نجوم قطر,الوكرة,الدحيل,19:30,2 - 1,2024-03-10
الدوري المصري,الاتحاد السكندري,مودرن فيوتشر,21:30,0 - 0,2024-03-11
الدوري الإنجليزي,تشيلسي,نيوكاسل,22:00,3 - 2,2024-03-11
الدوري الإسباني,الميريا,اشبيلية,22:00,2 - 2,2024-03-11
دوري أبطال آسيا,النصر,العين,21:00,4 - 3,2024-03-11
الدوري الإيطالي,لاتسيو,أودينيزي,21:45,1 - 2,2024-03-11
الدوري التركي,غازي عنتاب بي.بي.كي,بشكتاش,19:30,2 - 0,2024-03-11
الدوري البرتغالي,جل فيسنتي,شافيش,22:15,0 - 0,2024-03-11
دوري نجوم قطر,معيذر,الغرافة,20:30,0 - 2,2024-03-11
دوري نجوم قطر,الشمال,المرخية الرياضي,20:30,2 - 0,2024-03-11
الدوري المصري,الجونة,الزمالك,21:30,3 - 2,2024-03-12
الدوري المصري,البنك الاهلي,الأهلي,21:30,4 - 3,2024-03-12
الدوري المصري,زد,المصري,21:30,2 - 2,2024-03-12
دوري أبطال أوروبا,برشلونة,نابولي,22:00,3 - 1,2024-03-12
دوري أبطال أوروبا,أرسنال,بورتو,22:00,1 - 0,2024-03-12
دوري أبطال آسيا,أولسان هيونداي,تشونبك هيونداي,12:00,1 - 0,2024-03-12
دوري أبطال آسيا,الاتحاد,الهلال,21:00,0 - 2,2024-03-12
الدوري الأفريقي لكرة السلة,كيب تاون تايجرز,نادي الفتح الرياضي,19:00,58 - 84,2024-03-12
الدوري المغربي,الوداد البيضاوي,اتحاد طنجة,23:00,0 - 2,2024-03-12
كأس ألمانيا,ساربروكن,مونشنجلادباخ,21:30,2 - 1,2024-03-12
دوري نجوم قطر,نادي قطر,الأهلي القطري,20:30,1 - 3,2024-03-12
دوري نجوم قطر,الريان,ام صلال,20:30,2 - 2,2024-03-12
الدوري الإنجليزي,بورنموث,لوتون تاون,21:30,4 - 3,2024-03-13
دوري أبطال أوروبا,بروسيا دورتموند,إيندهوفن,22:00,2 - 0,2024-03-13
دوري أبطال أوروبا,اتلتيكو مدريد,إنتر ميلان,22:00,2 - 1,2024-03-13
دوري أبطال آسيا,يوكوهاما مارينوس,شاندونج تايشان,12:00,1 - 0,2024-03-13
كأس فرنسا,باريس سان جيرمان,نيس,22:10,3 - 1,2024-03-13
